EC,1.1.1.298,1.1.1.37,1.1.1.42,1.17.1.10,1.2.1.12,1.2.1.59,1.2.7.3,1.2.7.4,1.3.1.84,1.3.5.1,1.3.5.4,1.5.1.20,1.8.1.4,1.8.98.1,2.2.1.1,2.3.1.101,2.3.1.61,2.3.1.8,2.3.1.9,2.3.3.8,2.7.1.11,2.7.1.19,2.7.1.2,2.7.1.40,2.7.2.1,2.7.2.3,2.7.9.2,2.8.4.1,3.1.3.11,4.1.1.31,4.1.1.39,4.1.2.13,4.1.3.34,4.2.1.11,4.2.1.148,4.2.1.153,4.2.1.17,4.2.1.2,4.2.1.3,5.3.1.1,5.3.1.6,5.3.1.9,5.4.1.3,5.4.2.11,5.4.2.12,5.4.99.2,6.2.1.1,6.2.1.18,6.2.1.5,6.4.1.1,6.4.1.2,6.4.1.3
1.1.1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285714285714285,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928571428571429,0.7107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6321428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964285714285714,0.0
1.1.1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.5392857142857143,0.0,0.0,0.0,0.0,0.0,0.5642857142857143,0.0,0.0,0.0,0.0,0.0,0.6035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6321428571428571,0.0,0.0,0.0,0.0,0.0,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.6714285714285714,0.0,0.0,0.6321428571428571,0.0,0.0,0.0
1.1.1.42,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392857142857143,0.0,0.0,0.0
1.17.1.10,0.0,0.0,0.0,0.0,0.7321428571428571,0.5892857142857143,0.5928571428571429,0.95,0.0,0.0,0.5892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142857142857143,0.0,0.0,0.8821428571428571,0.0,0.8142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.6214285714285714,0.7142857142857143,0.8142857142857143,0.0,0.675,0.0,0.7285714285714285
1.2.1.12,0.0,0.0,0.0,0.7321428571428571,0.0,0.0,0.5464285714285714,0.6571428571428571,0.0,0.0,0.6178571428571429,0.0,0.0,0.7607142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.8142857142857143,0.0,0.0,0.6678571428571428,0.0,0.6821428571428572,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.7785714285714286,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.775,0.5678571428571428,0.0,0.6714285714285714,0.0,0.5428571428571428
1.2.1.59,0.0,0.0,0.5178571428571429,0.5892857142857143,0.0,0.0,0.6928571428571428,0.6678571428571428,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.5464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321428571428571,0.6035714285714285,0.6428571428571429,0.0,0.0,0.0
1.2.7.3,0.0,0.5392857142857143,0.0,0.5928571428571429,0.5464285714285714,0.6928571428571428,0.0,0.6821428571428572,0.0,0.0,0.7714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107142857142857,0.7857142857142857,0.0,0.0,0.5142857142857142,0.0,0.7285714285714285,0.0,0.0,0.5464285714285714,0.0,0.0,0.0,0.6321428571428571,0.6678571428571428,0.0,0.0,0.0,0.0,0.0,0.5071428571428571,0.0,0.0,0.5142857142857142,0.0,0.0,0.7142857142857143,0.7428571428571429,0.6285714285714286,0.6892857142857143,0.7928571428571428,0.0,0.5892857142857143
1.2.7.4,0.0,0.0,0.0,0.95,0.6571428571428571,0.6678571428571428,0.6821428571428572,0.0,0.0,0.0,0.5535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7821428571428571,0.0,0.0,0.8214285714285714,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9178571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857142857142857,0.6892857142857143,0.8892857142857142,0.0,0.7678571428571429,0.0,0.7607142857142857
1.3.1.84,0.7285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071428571428572,0.0,0.625,0.5571428571428572,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.7928571428571428,0.7035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571428571428571,0.0,0.0,0.0,0.7071428571428572,0.5071428571428571,0.0,0.0,0.0,0.0,0.0,0.8071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0
1.3.5.1,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071428571428572,0.0,0.0,0.8,0.0,0.0,0.7642857142857142,0.0,0.8357142857142857,0.0,0.0,0.0,0.0,0.6178571428571429,0.6964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.7785714285714286,0.6178571428571429,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.0,0.6678571428571428,0.6535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6928571428571428,0.0
1.3.5.4,0.0,0.0,0.0,0.5892857142857143,0.6178571428571429,0.525,0.7714285714285715,0.5535714285714286,0.0,0.0,0.0,0.0,0.0,0.5464285714285714,0.0,0.0,0.0,0.0,0.0,0.5821428571428572,0.8071428571428572,0.0,0.0,0.5571428571428572,0.0,0.5428571428571428,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.5964285714285714,0.0,0.0,0.7321428571428571,0.0,0.0,0.6392857142857142,0.7464285714285714,0.0,0.0,0.5178571428571429,0.0,0.5821428571428572
1.5.1.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.8,0.0,0.0,0.0,0.0,0.8964285714285715,0.0,0.8821428571428571,0.5071428571428571,0.0,0.0,0.0,0.5535714285714286,0.7357142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.7214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8.1.4,0.0,0.5642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6464285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.5392857142857143,0.0,0.7178571428571429,0.0,0.0,0.0,0.7464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.5285714285714286,0.0
1.8.98.1,0.0,0.0,0.0,0.0,0.7607142857142857,0.0,0.0,0.0,0.0,0.0,0.5464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964285714285714,0.0,0.0,0.0,0.0,0.0
2.2.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7642857142857142,0.0,0.8964285714285715,0.0,0.0,0.0,0.0,0.9107142857142857,0.5071428571428571,0.0,0.0,0.0,0.5428571428571428,0.6464285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.7714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3.1.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5642857142857143,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5214285714285715,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3.1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357142857142857,0.0,0.8821428571428571,0.0,0.0,0.9107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6107142857142858,0.0,0.0,0.0,0.5571428571428572,0.5535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3.1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071428571428571,0.0,0.0,0.5071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3.1.9,0.0,0.6035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214285714285715,0.0,0.6964285714285714,0.0,0.5428571428571428,0.0,0.0,0.0,0.6428571428571429
2.3.3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7107142857142857,0.0,0.0,0.0,0.5821428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7214285714285714,0.0,0.0,0.0,0.6857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7.1.11,0.0,0.0,0.0,0.8142857142857143,0.8142857142857143,0.525,0.7857142857142857,0.7821428571428571,0.0,0.0,0.8071428571428572,0.0,0.0,0.5107142857142857,0.0,0.0,0.0,0.0,0.0,0.5107142857142857,0.0,0.0,0.0,0.7964285714285714,0.0,0.75,0.0,0.6035714285714285,0.0,0.0,0.0,0.0,0.0,0.8964285714285715,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.6,0.0,0.0,0.6857142857142857,0.8535714285714285,0.7642857142857142,0.0,0.7285714285714285,0.0,0.7142857142857143
2.7.1.19,0.5928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7928571428571428,0.6178571428571429,0.0,0.5535714285714286,0.6464285714285715,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.7607142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
2.7.1.2,0.7107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035714285714286,0.6964285714285714,0.0,0.7357142857142858,0.0,0.0,0.6464285714285715,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.7785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6178571428571429,0.0
2.7.1.40,0.0,0.0,0.0,0.8821428571428571,0.6678571428571428,0.0,0.5142857142857142,0.8214285714285714,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035714285714285,0.0,0.7964285714285714,0.0,0.0,0.0,0.0,0.7035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9392857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7464285714285714,0.6035714285714285,0.7535714285714286,0.0,0.5964285714285714,0.0,0.8678571428571429
2.7.2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0
2.7.2.3,0.0,0.0,0.0,0.8142857142857143,0.6821428571428572,0.5464285714285714,0.7285714285714285,0.8928571428571429,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8321428571428572,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5857142857142857,0.65,0.7642857142857142,0.0,0.8214285714285714,0.0,0.625
2.7.9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8.4.1,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.6035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.6392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0
3.1.3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5464285714285714,0.0,0.0,0.0,0.5357142857142857,0.0,0.5392857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.6535714285714286,0.0,0.0,0.65,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1.1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7785714285714286,0.0,0.8857142857142857,0.0,0.0,0.7714285714285715,0.0,0.8857142857142857,0.6142857142857143,0.0,0.0,0.0,0.0,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.5642857142857143,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1.1.39,0.5607142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571428571428571,0.6178571428571429,0.0,0.0,0.7178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6821428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392857142857143,0.0
4.1.2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1.3.34,0.0,0.6321428571428571,0.0,0.0,0.0,0.0,0.6321428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0
4.2.1.11,0.0,0.0,0.0,0.9285714285714286,0.7785714285714286,0.0,0.6678571428571428,0.9178571428571428,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5214285714285715,0.0,0.8964285714285715,0.0,0.0,0.9392857142857143,0.0,0.8321428571428572,0.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.7535714285714286,0.7107142857142857,0.8678571428571429,0.0,0.7607142857142857,0.0,0.8642857142857143
4.2.1.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071428571428572,0.0,0.0,0.0,0.7464285714285714,0.0,0.0,0.5642857142857143,0.0,0.0,0.0,0.0,0.0,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.8107142857142857,0.0,0.0,0.0,0.0,0.6357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.6535714285714286,0.5821428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.5392857142857143,0.0
4.2.1.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178571428571429,0.0,0.6357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2.1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.6285714285714286,0.0,0.0,0.6428571428571429,0.0,0.6107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.5892857142857143,0.0,0.0,0.0,0.0,0.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321428571428571,0.0,0.0,0.0
4.2.1.3,0.0,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892857142857143,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3.1.1,0.0,0.0,0.0,0.5178571428571429,0.6071428571428571,0.0,0.5071428571428571,0.0,0.0,0.0,0.5964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.5,0.0,0.6392857142857142,0.6535714285714286,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0
5.3.1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6678571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8357142857142857,0.0,0.0,0.5642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3.1.9,0.6321428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071428571428572,0.6535714285714286,0.0,0.7214285714285714,0.0,0.0,0.5357142857142857,0.0,0.5535714285714286,0.0,0.0,0.0,0.0,0.7607142857142857,0.8035714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.6821428571428572,0.6107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
5.4.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,0.0,0.0,0.7321428571428571,0.0,0.0,0.0,0.0,0.5214285714285715,0.0,0.0,0.0,0.5071428571428571,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.6535714285714286,0.8107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5821428571428572,0.0,0.0,0.0,0.0,0.0
5.4.2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392857142857142,0.0,0.0,0.5428571428571428,0.0,0.0,0.5214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.5821428571428572,0.0,0.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4.2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4.99.2,0.0,0.6714285714285714,0.0,0.6214285714285714,0.0,0.0,0.7142857142857143,0.6857142857142857,0.0,0.0,0.6392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964285714285714,0.0,0.6857142857142857,0.0,0.0,0.7464285714285714,0.0,0.5857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392857142857143,0.7035714285714286,0.5107142857142857,0.7178571428571429,0.0,0.9357142857142857
6.2.1.1,0.0,0.0,0.0,0.7142857142857143,0.775,0.5321428571428571,0.7428571428571429,0.6892857142857143,0.0,0.0,0.7464285714285714,0.0,0.0,0.6964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.8535714285714285,0.0,0.0,0.6035714285714285,0.0,0.65,0.0,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.7107142857142857,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.0,0.5821428571428572,0.0,0.0,0.5392857142857143,0.0,0.5321428571428571,0.0,0.6857142857142857,0.0,0.5428571428571428
6.2.1.18,0.0,0.0,0.0,0.8142857142857143,0.5678571428571428,0.6035714285714285,0.6285714285714286,0.8892857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,0.7642857142857142,0.0,0.0,0.7535714285714286,0.55,0.7642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8678571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035714285714286,0.5321428571428571,0.0,0.0,0.6857142857142857,0.0,0.7857142857142857
6.2.1.5,0.0,0.6321428571428571,0.5392857142857143,0.0,0.0,0.6428571428571429,0.6892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.5321428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5107142857142857,0.0,0.0,0.0,0.0,0.0,0.0
6.4.1.1,0.0,0.0,0.0,0.675,0.6714285714285714,0.0,0.7928571428571428,0.7678571428571429,0.0,0.0,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7285714285714285,0.0,0.0,0.5964285714285714,0.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7178571428571429,0.6857142857142857,0.6857142857142857,0.0,0.0,0.0,0.7107142857142857
6.4.1.2,0.6964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,0.6928571428571428,0.0,0.0,0.5285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.6178571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392857142857143,0.0,0.0,0.0,0.5392857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4.1.3,0.0,0.0,0.0,0.7285714285714285,0.5428571428571428,0.0,0.5892857142857143,0.7607142857142857,0.0,0.0,0.5821428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.7142857142857143,0.0,0.0,0.8678571428571429,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9357142857142857,0.5428571428571428,0.7857142857142857,0.0,0.7107142857142857,0.0,0.0
